_id,階層,地域コード,地域,常住地／全国総数（人）,常住地／東京都総数（人）,常住地／区部（人）,常住地／千代田区（人）,常住地／中央区（人）,常住地／港区（人）,常住地／新宿区（人）,常住地／文京区（人）,常住地／台東区（人）,常住地／墨田区（人）,常住地／江東区（人）,常住地／品川区（人）,常住地／目黒区（人）,常住地／大田区（人）,常住地／世田谷区（人）,常住地／渋谷区（人）,常住地／中野区（人）,常住地／杉並区（人）,常住地／豊島区（人）,常住地／北区（人）,常住地／荒川区（人）,常住地／板橋区（人）,常住地／練馬区（人）,常住地／足立区（人）,常住地／葛飾区（人）,常住地／江戸川区（人）,常住地／市部（人）,常住地／八王子市（人）,常住地／立川市（人）,常住地／武蔵野市（人）,常住地／三鷹市（人）,常住地／青梅市（人）,常住地／府中市（人）,常住地／昭島市（人）,常住地／調布市（人）,常住地／町田市（人）,常住地／小金井市（人）,常住地／小平市（人）,常住地／日野市（人）,常住地／東村山市（人）,常住地／国分寺市（人）,常住地／国立市（人）,常住地／福生市（人）,常住地／狛江市（人）,常住地／東大和市（人）,常住地／清瀬市（人）,常住地／東久留米市（人）,常住地／武蔵村山市（人）,常住地／多摩市（人）,常住地／稲城市（人）,常住地／羽村市（人）,常住地／あきる野市（人）,常住地／西東京市（人）,常住地／郡部（人）,常住地／瑞穂町（人）,常住地／日の出町（人）,常住地／檜原村（人）,常住地／奥多摩町（人）,常住地／島部（人）,常住地／大島町（人）,常住地／利島村（人）,常住地／新島村（人）,常住地／神津島村（人）,常住地／三宅村（人）,常住地／御蔵島村（人）,常住地／八丈町（人）,常住地／青ヶ島村（人）,常住地／小笠原村（人）,常住地が他道府県／総数（人）,常住地が他道府県／関東地方／総数（人）,常住地が他道府県／関東地方／茨城県（人）,常住地が他道府県／関東地方／栃木県（人）,常住地が他道府県／関東地方／群馬県（人）,常住地が他道府県／関東地方／埼玉県（人）,常住地が他道府県／関東地方／千葉県（人）,常住地が他道府県／関東地方／神奈川県（人）,常住地が他道府県／他の道府県（人）
21,5,13118,従業地・通学地／荒川区,13534,11864,11641,23,40,42,51,103,90,80,96,39,34,54,145,32,34,73,79,140,9573,78,95,433,188,119,222,15,7,20,16,3,10,3,17,24,14,10,9,5,6,11,-,6,5,1,5,-,10,5,3,1,16,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,1670,1645,106,14,10,602,582,331,25
22,5,13119,従業地・通学地／板橋区,42030,34172,33251,43,59,65,224,327,70,76,203,83,78,110,192,63,185,235,540,994,182,26986,1749,385,158,244,916,63,34,37,48,13,48,18,29,54,30,38,23,61,22,9,7,13,18,87,80,5,13,16,10,11,129,2,2,-,-,-,3,-,-,-,-,-,-,3,-,-,7858,7464,309,177,182,5279,857,660,394
23,5,13120,従業地・通学地／練馬区,48994,45594,43183,22,40,64,236,148,28,32,115,68,76,87,302,75,473,666,296,159,56,703,39314,85,41,97,2407,46,56,196,105,7,67,17,53,42,68,159,31,167,46,25,12,19,42,208,292,13,20,19,7,8,682,4,2,1,-,1,-,-,-,-,-,-,-,-,-,-,3400,3183,134,58,65,1804,580,542,217
24,5,13121,従業地・通学地／足立区,39580,35161,34834,8,29,15,18,44,123,223,159,32,23,65,74,18,26,39,52,219,380,98,90,32098,761,240,324,42,13,18,11,6,16,7,15,22,7,19,12,18,16,6,5,10,1,6,18,4,4,6,3,4,35,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,4419,4235,461,143,96,1725,1205,605,184
25,5,13122,従業地・通学地／葛飾区,27687,25552,25348,6,14,14,21,36,42,221,109,34,18,79,65,7,21,44,25,55,136,50,56,850,22831,614,204,11,8,14,13,2,18,2,14,23,6,15,3,13,6,3,1,1,2,6,10,1,11,5,1,1,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2135,2041,110,23,25,508,856,519,94
26,5,13123,従業地・通学地／江戸川区,47644,44244,44055,4,61,14,35,20,63,311,805,37,7,56,51,14,17,26,17,51,94,47,45,407,819,41054,184,16,8,4,11,3,17,5,10,15,6,7,6,8,4,2,5,6,-,5,8,3,4,4,3,6,18,4,4,-,-,-,1,1,-,-,-,-,-,-,-,-,3400,3227,167,45,42,432,2222,319,173
27,4,13200,従業地・通学地／市部,425076,369819,26979,174,248,511,875,517,226,310,813,624,642,1121,5230,823,1352,4700,572,559,281,905,4385,637,470,1004,341540,54242,13907,9821,14255,9870,22850,9449,16985,36913,9902,16246,16363,11462,10224,6402,3548,4836,7412,5630,8148,5507,12320,8624,4726,7333,14565,1286,748,412,27,99,14,5,-,2,4,-,-,2,-,1,55257,49725,1389,807,1002,14112,4727,27688,5532
28,5,13201,従業地・通学地／八王子市,82362,65672,4514,25,47,61,143,99,55,78,175,149,127,286,735,100,201,523,125,158,70,236,552,177,128,264,60904,46668,862,249,302,511,1072,574,633,2321,334,447,2113,319,518,343,247,97,309,104,154,216,1087,419,259,496,250,249,155,75,5,14,5,1,-,1,1,-,-,2,-,-,16690,14557,418,253,344,4125,1186,8231,2133
29,5,13202,従業地・通学地／立川市,17088,16344,298,-,1,5,10,2,6,4,8,6,2,9,40,5,13,83,2,4,3,12,61,10,2,10,15941,785,10088,93,116,290,431,364,134,120,193,384,464,254,331,245,110,20,316,45,81,256,223,171,109,223,95,105,54,42,3,6,-,-,-,-,-,-,-,-,-,-,744,584,20,11,11,208,51,283,160
30,5,13203,従業地・通学地／武蔵野市,20362,16843,4487,36,45,55,171,123,33,38,147,72,96,123,524,125,267,1160,99,69,47,115,871,73,66,132,12263,292,191,7690,582,75,371,98,284,101,390,318,152,180,242,135,44,33,86,64,112,48,50,55,43,45,582,91,19,69,-,3,2,1,-,-,-,-,-,-,-,1,3519,3190,133,71,70,1312,729,875,329
