_id,産業階層,産業分類並び順,産業,地域階層,地域コード,地域,昼間就業者（人）,常住就業者（人）,常住就業者／うち自宅就業者（人）,常住就業者／うち地域内通勤者（人）,流入超過通勤者（人）,流入通勤者（人）,流入通勤者／うち都外から流入（人）,流出通勤者（人）,流出通勤者／うち都外へ流出（人）
163,2,13,運輸業，郵便業,2,13105,文京区,2521,1943,95,242,578,2122,1065,1544,184
164,2,14,卸売業，小売業,2,13105,文京区,21688,11505,1389,2475,10183,17591,8822,7408,535
165,2,15,金融業，保険業,2,13105,文京区,7134,5102,58,245,2032,6768,3326,4736,223
166,2,16,不動産業，物品賃貸業,2,13105,文京区,4868,4040,1311,654,828,2799,1209,1971,137
167,2,17,学術研究，専門・技術サービス業,2,13105,文京区,10089,8222,1502,927,1867,7555,3716,5688,369
168,2,18,宿泊業，飲食サービス業,2,13105,文京区,10711,4925,590,1701,5786,8315,3767,2529,128
169,2,19,生活関連サービス業，娯楽業,2,13105,文京区,4954,2319,375,558,2635,3949,1817,1314,116
170,2,20,教育，学習支援業,2,13105,文京区,19515,6677,346,2484,12838,16634,6946,3796,718
171,2,21,医療，福祉,2,13105,文京区,17559,10113,319,3781,7446,13344,4244,5898,1154
172,2,22,複合サービス事業,2,13105,文京区,445,165,1,54,280,388,148,108,4
173,2,23,サービス業（他に分類されないもの）,2,13105,文京区,14044,5375,466,1286,8669,12172,5434,3503,153
174,2,24,公務（他に分類されるものを除く）,2,13105,文京区,3437,3142,6,401,295,3017,1376,2722,207
175,1,25,分類不能の産業,2,13105,文京区,14903,12190,651,781,2713,4148,1573,1435,108
176,0,1,総数,2,13106,台東区,189188,85952,12653,18323,103236,143854,78051,40618,4355
177,1,2,第1次産業,2,13106,台東区,93,53,9,11,40,71,38,31,10
178,2,3,農業，林業,2,13106,台東区,92,51,9,11,41,70,37,29,10
179,3,4,うち農業,2,13106,台東区,88,50,9,10,38,67,34,29,10
180,2,5,漁業,2,13106,台東区,1,2,-,-,-1,1,1,2,-
181,1,6,第2次産業,2,13106,台東区,37905,12806,2877,3170,25099,31445,18588,6346,1093
182,2,7,鉱業，採石業，砂利採取業,2,13106,台東区,21,17,1,2,4,18,11,14,2
183,2,8,建設業,2,13106,台東区,9876,3136,568,722,6740,8412,5216,1672,245
184,2,9,製造業,2,13106,台東区,28008,9653,2308,2446,18355,23015,13361,4660,846
185,1,10,第3次産業,2,13106,台東区,133497,57558,8897,14314,75939,108740,57915,32801,3107
186,2,11,電気・ガス・熱供給・水道業,2,13106,台東区,560,189,1,11,371,542,286,171,27
187,2,12,情報通信業,2,13106,台東区,12314,6074,350,476,6240,11390,6900,5150,312
188,2,13,運輸業，郵便業,2,13106,台東区,6277,2298,121,412,3979,5658,3520,1679,223
189,2,14,卸売業，小売業,2,13106,台東区,44857,14413,2932,4790,30444,36720,20126,6276,627
190,2,15,金融業，保険業,2,13106,台東区,5181,2363,68,186,2818,4893,2696,2075,153
191,2,16,不動産業，物品賃貸業,2,13106,台東区,5887,3276,1190,655,2611,3914,1994,1303,106
192,2,17,学術研究，専門・技術サービス業,2,13106,台東区,10320,4402,872,641,5918,8735,5072,2817,291
193,2,18,宿泊業，飲食サービス業,2,13106,台東区,13523,6919,1406,2774,6604,9108,3822,2504,123
194,2,19,生活関連サービス業，娯楽業,2,13106,台東区,4924,2506,556,663,2418,3610,1717,1192,146
195,2,20,教育，学習支援業,2,13106,台東区,4907,2684,196,482,2223,4166,1855,1943,354
196,2,21,医療，福祉,2,13106,台東区,8090,5136,276,1598,2954,6118,2481,3164,393
197,2,22,複合サービス事業,2,13106,台東区,552,159,-,38,393,514,233,121,11
198,2,23,サービス業（他に分類されないもの）,2,13106,台東区,12599,5429,925,1183,7170,10291,5313,3121,199
199,2,24,公務（他に分類されるものを除く）,2,13106,台東区,3506,1710,4,405,1796,3081,1900,1285,142
200,1,25,分類不能の産業,2,13106,台東区,17693,15535,870,828,2158,3598,1510,1440,145
201,0,1,総数,2,13107,墨田区,146122,122324,13283,27656,23798,92541,46823,68743,6828
202,1,2,第1次産業,2,13107,墨田区,128,92,19,27,36,81,46,45,8
203,2,3,農業，林業,2,13107,墨田区,127,88,19,26,39,81,46,42,8
204,3,4,うち農業,2,13107,墨田区,127,85,19,26,42,81,46,39,7
205,2,5,漁業,2,13107,墨田区,1,4,-,1,-3,-,-,3,-
206,1,6,第2次産業,2,13107,墨田区,35927,23548,4556,6506,12379,24356,13399,11977,1808
207,2,7,鉱業，採石業，砂利採取業,2,13107,墨田区,3,16,-,-,-13,2,1,15,2
208,2,8,建設業,2,13107,墨田区,8652,6056,1044,1436,2596,5950,3433,3354,528
209,2,9,製造業,2,13107,墨田区,27272,17476,3512,5070,9796,18404,9965,8608,1278
210,1,10,第3次産業,2,13107,墨田区,95844,84509,8069,20233,11335,66091,32590,54756,4855
211,2,11,電気・ガス・熱供給・水道業,2,13107,墨田区,121,463,-,13,-342,103,62,445,83
212,2,12,情報通信業,2,13107,墨田区,6994,9674,388,510,-2680,6021,3676,8701,544
213,2,13,運輸業，郵便業,2,13107,墨田区,6430,5341,338,1196,1089,4738,2696,3649,495
214,2,14,卸売業，小売業,2,13107,墨田区,23720,19138,2457,5206,4582,15747,7949,11165,991
215,2,15,金融業，保険業,2,13107,墨田区,7292,4213,83,516,3079,6666,3523,3587,278
216,2,16,不動産業，物品賃貸業,2,13107,墨田区,4596,4118,1045,822,478,2630,1377,2152,191
217,2,17,学術研究，専門・技術サービス業,2,13107,墨田区,5241,5682,985,639,-441,3550,1979,3991,312
218,2,18,宿泊業，飲食サービス業,2,13107,墨田区,8246,8028,956,2786,218,4312,1636,4094,251
219,2,19,生活関連サービス業，娯楽業,2,13107,墨田区,4952,3809,702,1091,1143,3085,1482,1942,220
220,2,20,教育，学習支援業,2,13107,墨田区,3698,3558,175,691,140,2799,1121,2659,440
221,2,21,医療，福祉,2,13107,墨田区,11258,9034,342,3770,2224,7018,2402,4794,472
222,2,22,複合サービス事業,2,13107,墨田区,563,335,1,148,228,407,169,179,15
223,2,23,サービス業（他に分類されないもの）,2,13107,墨田区,9636,8687,588,2255,949,6536,3142,5587,354
224,2,24,公務（他に分類されるものを除く）,2,13107,墨田区,3097,2429,9,590,668,2479,1376,1811,209
225,1,25,分類不能の産業,2,13107,墨田区,14223,14175,639,890,48,2013,788,1965,157
226,0,1,総数,2,13108,江東区,345287,228833,15561,60395,116454,245563,132682,129109,13503
227,1,2,第1次産業,2,13108,江東区,244,160,11,46,84,184,110,100,38
228,2,3,農業，林業,2,13108,江東区,214,153,10,45,61,156,93,95,37
229,3,4,うち農業,2,13108,江東区,188,118,8,39,70,140,84,70,27
230,2,5,漁業,2,13108,江東区,30,7,1,1,23,28,17,5,1
231,1,6,第2次産業,2,13108,江東区,59900,34048,3565,9146,25852,46510,27346,20658,3263
232,2,7,鉱業，採石業，砂利採取業,2,13108,江東区,10,56,-,1,-46,8,6,54,2
233,2,8,建設業,2,13108,江東区,22654,10595,1320,3187,12059,17764,10739,5705,952
234,2,9,製造業,2,13108,江東区,37236,23397,2245,5958,13839,28738,16601,14899,2309
235,1,10,第3次産業,2,13108,江東区,253934,167231,10915,49048,86703,191379,101925,104676,9840
236,2,11,電気・ガス・熱供給・水道業,2,13108,江東区,1887,1036,3,135,851,1739,1025,888,168
237,2,12,情報通信業,2,13108,江東区,55445,21520,941,3939,33925,50381,28983,16456,1052
238,2,13,運輸業，郵便業,2,13108,江東区,35121,14166,657,6526,20955,27573,14606,6618,1158
239,2,14,卸売業，小売業,2,13108,江東区,44007,33073,2486,10492,10934,30539,16284,19605,1806
240,2,15,金融業，保険業,2,13108,江東区,13164,11028,158,1388,2136,11530,6423,9394,582
241,2,16,不動産業，物品賃貸業,2,13108,江東区,7872,7489,1427,1518,383,4777,2593,4394,381
242,2,17,学術研究，専門・技術サービス業,2,13108,江東区,14193,12634,1982,1577,1559,10501,6122,8942,601
243,2,18,宿泊業，飲食サービス業,2,13108,江東区,12216,13969,900,5203,-1753,5800,2481,7553,538
244,2,19,生活関連サービス業，娯楽業,2,13108,江東区,7455,6532,844,1941,923,4503,2189,3580,647
245,2,20,教育，学習支援業,2,13108,江東区,7511,7360,333,1951,151,5162,2023,5011,849
246,2,21,医療，福祉,2,13108,江東区,18559,15242,364,6855,3317,11153,4319,7836,932
247,2,22,複合サービス事業,2,13108,江東区,636,537,2,131,99,493,249,394,18
248,2,23,サービス業（他に分類されないもの）,2,13108,江東区,29452,17694,804,6404,11758,21840,11651,10082,711
249,2,24,公務（他に分類されるものを除く）,2,13108,江東区,6416,4951,14,988,1465,5388,2977,3923,397
250,1,25,分類不能の産業,2,13108,江東区,31209,27394,1070,2155,3815,7490,3301,3675,362
251,0,1,総数,2,13109,品川区,332671,182766,13945,45352,149905,255299,143201,105394,13746
252,1,2,第1次産業,2,13109,品川区,227,168,43,45,59,137,83,78,18
253,2,3,農業，林業,2,13109,品川区,216,164,41,45,52,128,76,76,18
254,3,4,うち農業,2,13109,品川区,204,157,40,45,47,117,70,70,17
255,2,5,漁業,2,13109,品川区,11,4,2,-,7,9,7,2,-
256,1,6,第2次産業,2,13109,品川区,66877,26835,2455,7041,40042,56925,34947,16883,3470
257,2,7,鉱業，採石業，砂利採取業,2,13109,品川区,26,44,-,4,-18,22,18,40,1
258,2,8,建設業,2,13109,品川区,17195,7583,1078,2205,9612,13681,8405,4069,756
259,2,9,製造業,2,13109,品川区,49656,19208,1377,4832,30448,43222,26524,12774,2713
260,1,10,第3次産業,2,13109,品川区,240334,134610,10632,36824,105724,190992,104594,85268,9916
261,2,11,電気・ガス・熱供給・水道業,2,13109,品川区,969,588,1,60,381,907,522,526,94
262,2,12,情報通信業,2,13109,品川区,59488,18866,822,3245,40622,55240,33781,14618,1373
263,2,13,運輸業，郵便業,2,13109,品川区,19094,9170,380,2587,9924,15943,9166,6019,890
264,2,14,卸売業，小売業,2,13109,品川区,48737,25133,2072,7830,23604,38487,21467,14883,1691
265,2,15,金融業，保険業,2,13109,品川区,10090,7419,135,774,2671,9120,4678,6449,518
266,2,16,不動産業，物品賃貸業,2,13109,品川区,9864,7114,1968,1573,2750,6206,3206,3456,351
267,2,17,学術研究，専門・技術サービス業,2,13109,品川区,15897,11514,1943,1719,4383,12114,6529,7731,790
268,2,18,宿泊業，飲食サービス業,2,13109,品川区,14870,11134,742,4732,3736,9193,4213,5457,440
269,2,19,生活関連サービス業，娯楽業,2,13109,品川区,10228,6458,948,2168,3770,6985,3501,3215,467
270,2,20,教育，学習支援業,2,13109,品川区,7916,6507,386,1449,1409,6021,2758,4612,931
271,2,21,医療，福祉,2,13109,品川区,16076,13916,486,5675,2160,9765,3719,7605,1260
272,2,22,複合サービス事業,2,13109,品川区,639,591,-,194,48,438,152,390,25
273,2,23,サービス業（他に分類されないもの）,2,13109,品川区,22291,12270,708,3840,10021,17446,9442,7425,669
274,2,24,公務（他に分類されるものを除く）,2,13109,品川区,4175,3930,41,978,245,3127,1460,2882,417
275,1,25,分類不能の産業,2,13109,品川区,25233,21153,815,1442,4080,7245,3577,3165,342
276,0,1,総数,2,13110,目黒区,128729,119587,11689,19482,9142,81451,38394,72309,7708
277,1,2,第1次産業,2,13110,目黒区,251,207,57,86,44,104,49,60,13
278,2,3,農業，林業,2,13110,目黒区,250,205,57,86,45,104,49,59,13
279,3,4,うち農業,2,13110,目黒区,242,200,55,85,42,99,47,57,13
280,2,5,漁業,2,13110,目黒区,1,2,-,-,-1,-,-,1,-
281,1,6,第2次産業,2,13110,目黒区,14379,12883,1397,1889,1496,10825,5896,9329,1771
282,2,7,鉱業，採石業，砂利採取業,2,13110,目黒区,5,25,2,1,-20,2,1,22,1
