year,通学地コード,通学地,常住地／全国総数（人）,常住地／東京都総数（人）,常住地／区部（人）,常住地／千代田区（人）,常住地／中央区（人）,常住地／港区（人）,常住地／新宿区（人）,常住地／文京区（人）,常住地／台東区（人）,常住地／墨田区（人）,常住地／江東区（人）,常住地／品川区（人）,常住地／目黒区（人）,常住地／大田区（人）,常住地／世田谷区（人）,常住地／渋谷区（人）,常住地／中野区（人）,常住地／杉並区（人）,常住地／豊島区（人）,常住地／北区（人）,常住地／荒川区（人）,常住地／板橋区（人）,常住地／練馬区（人）,常住地／足立区（人）,常住地／葛飾区（人）,常住地／江戸川区（人）,常住地が他道府県／総数（人）,常住地が他道府県／関東地方／総数（人）,常住地が他道府県／関東地方／茨城県（人）,常住地が他道府県／関東地方／栃木県（人）,常住地が他道府県／関東地方／群馬県（人）,常住地が他道府県／関東地方／埼玉県（人）,常住地が他道府県／関東地方／千葉県（人）,常住地が他道府県／関東地方／神奈川県（人）,常住地が他道府県／他の道府県（人）
2020,13205,青梅市,8167.0,8095.0,9.0,,,,1.0,,,,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,72.0,67.0,2.0,1.0,1.0,42.0,5.0,16.0,5.0
2020,13206,府中市,23254.0,22171.0,632.0,6.0,4.0,4.0,16.0,11.0,5.0,10.0,22.0,15.0,15.0,29.0,151.0,9.0,29.0,113.0,12.0,18.0,9.0,28.0,70.0,21.0,13.0,22.0,1083.0,945.0,33.0,20.0,20.0,312.0,132.0,428.0,138.0
2020,13207,昭島市,8543.0,8440.0,46.0,,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,,3.0,15.0,2.0,,,1.0,11.0,2.0,,,103.0,95.0,2.0,1.0,,42.0,13.0,37.0,8.0
2020,13208,調布市,21763.0,19586.0,2704.0,18.0,17.0,155.0,64.0,44.0,14.0,17.0,53.0,55.0,81.0,69.0,1002.0,200.0,62.0,455.0,37.0,23.0,17.0,51.0,161.0,24.0,29.0,56.0,2177.0,1955.0,75.0,35.0,30.0,443.0,282.0,1090.0,222.0
2020,13209,町田市,50017.0,37870.0,2014.0,12.0,21.0,50.0,48.0,26.0,16.0,22.0,59.0,60.0,66.0,164.0,785.0,85.0,61.0,115.0,31.0,39.0,25.0,57.0,98.0,53.0,41.0,80.0,12147.0,11579.0,150.0,87.0,100.0,636.0,407.0,10199.0,568.0
2020,13210,小金井市,16837.0,14010.0,2147.0,8.0,25.0,24.0,64.0,43.0,16.0,23.0,82.0,55.0,34.0,71.0,279.0,55.0,161.0,479.0,37.0,55.0,20.0,85.0,352.0,50.0,30.0,99.0,2827.0,2562.0,89.0,41.0,60.0,1138.0,299.0,935.0,265.0
2020,13211,小平市,20905.0,18513.0,1579.0,9.0,7.0,16.0,80.0,21.0,23.0,26.0,47.0,44.0,34.0,56.0,145.0,28.0,136.0,231.0,44.0,37.0,21.0,63.0,385.0,39.0,35.0,52.0,2392.0,2099.0,60.0,38.0,39.0,1177.0,269.0,516.0,293.0
2020,13212,日野市,17215.0,15451.0,471.0,2.0,2.0,8.0,13.0,3.0,5.0,9.0,27.0,12.0,11.0,36.0,71.0,9.0,19.0,62.0,13.0,16.0,9.0,25.0,63.0,11.0,14.0,31.0,1764.0,1502.0,51.0,22.0,41.0,543.0,123.0,722.0,262.0
2020,13213,東村山市,10842.0,10395.0,342.0,,2.0,1.0,13.0,4.0,3.0,,2.0,2.0,3.0,3.0,20.0,5.0,33.0,77.0,9.0,6.0,1.0,8.0,143.0,3.0,1.0,3.0,447.0,429.0,2.0,,4.0,383.0,10.0,30.0,18.0
2020,13214,国分寺市,12322.0,10502.0,1281.0,26.0,17.0,51.0,62.0,33.0,10.0,12.0,43.0,31.0,41.0,44.0,179.0,55.0,67.0,246.0,35.0,25.0,11.0,38.0,143.0,38.0,22.0,52.0,1820.0,1628.0,49.0,56.0,83.0,845.0,195.0,400.0,192.0
2020,13215,国立市,11672.0,9850.0,1387.0,9.0,13.0,22.0,52.0,26.0,7.0,20.0,30.0,35.0,31.0,61.0,285.0,38.0,67.0,385.0,22.0,26.0,6.0,36.0,138.0,25.0,14.0,39.0,1822.0,1707.0,33.0,26.0,19.0,603.0,219.0,807.0,115.0
2020,13218,福生市,3217.0,3210.0,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,7.0,6.0,,,,3.0,,3.0,1.0
2020,13219,狛江市,4942.0,4846.0,217.0,,2.0,,3.0,3.0,1.0,,2.0,2.0,5.0,10.0,153.0,8.0,1.0,15.0,,,,3.0,6.0,1.0,,2.0,96.0,78.0,8.0,4.0,6.0,5.0,5.0,50.0,18.0
2020,13220,東大和市,6749.0,6711.0,33.0,,,,2.0,1.0,,,,,,,,,5.0,3.0,,,1.0,,20.0,1.0,,,38.0,36.0,2.0,,1.0,30.0,1.0,2.0,2.0
2020,13221,清瀬市,7180.0,6131.0,544.0,2.0,2.0,2.0,10.0,6.0,1.0,3.0,9.0,2.0,8.0,13.0,24.0,6.0,17.0,30.0,16.0,17.0,6.0,37.0,290.0,14.0,8.0,21.0,1049.0,984.0,46.0,25.0,30.0,674.0,117.0,92.0,65.0
2020,13222,東久留米市,7806.0,7648.0,371.0,1.0,3.0,2.0,21.0,11.0,4.0,1.0,6.0,8.0,5.0,7.0,17.0,1.0,13.0,25.0,29.0,7.0,4.0,15.0,176.0,7.0,4.0,4.0,158.0,147.0,2.0,4.0,1.0,106.0,11.0,23.0,11.0
2020,13223,武蔵村山市,5936.0,5829.0,75.0,,,,1.0,1.0,,1.0,,,1.0,1.0,4.0,2.0,10.0,17.0,,,,3.0,32.0,,1.0,1.0,107.0,105.0,1.0,,2.0,85.0,2.0,15.0,2.0
2020,13224,多摩市,14897.0,12375.0,654.0,3.0,3.0,8.0,22.0,5.0,7.0,9.0,29.0,24.0,15.0,38.0,222.0,16.0,22.0,60.0,9.0,12.0,9.0,23.0,52.0,18.0,15.0,33.0,2522.0,2281.0,59.0,29.0,52.0,325.0,147.0,1669.0,241.0
2020,13225,稲城市,8138.0,7449.0,135.0,,1.0,3.0,5.0,,,1.0,6.0,5.0,3.0,13.0,45.0,2.0,6.0,13.0,2.0,2.0,,3.0,6.0,6.0,4.0,9.0,689.0,618.0,14.0,13.0,18.0,90.0,35.0,448.0,71.0
2020,13227,羽村市,4072.0,4065.0,2.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,7.0,6.0,1.0,,,1.0,1.0,3.0,1.0
2020,13228,あきる野市,7056.0,6903.0,37.0,,,1.0,1.0,1.0,,,1.0,2.0,,2.0,4.0,2.0,5.0,5.0,,,,1.0,10.0,,2.0,,153.0,147.0,1.0,1.0,,64.0,7.0,74.0,6.0
2020,13229,西東京市,15758.0,14656.0,856.0,2.0,3.0,9.0,16.0,12.0,1.0,5.0,11.0,5.0,5.0,21.0,37.0,6.0,48.0,113.0,13.0,8.0,5.0,21.0,465.0,12.0,16.0,22.0,1102.0,926.0,68.0,29.0,35.0,362.0,203.0,229.0,176.0
2020,13300,郡部,3718.0,3689.0,8.0,,,,1.0,,,,1.0,,,1.0,,,2.0,,2.0,,,,,1.0,,,29.0,26.0,4.0,,,12.0,3.0,7.0,3.0
2020,13303,瑞穂町,2084.0,2079.0,4.0,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,1.0,,,5.0,4.0,,,,3.0,,1.0,1.0
2020,13305,日の出町,1337.0,1328.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,9.0,7.0,2.0,,,3.0,,2.0,2.0
2020,13307,檜原村,87.0,79.0,2.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,8.0,8.0,1.0,,,2.0,2.0,3.0,
2020,13308,奥多摩町,210.0,203.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,7.0,7.0,1.0,,,4.0,1.0,1.0,
2020,13350,島部,2274.0,2263.0,22.0,,,,1.0,,,1.0,1.0,2.0,,6.0,1.0,,,2.0,,2.0,1.0,,3.0,,,2.0,11.0,11.0,1.0,1.0,1.0,2.0,2.0,4.0,
2020,13361,大島町,792.0,788.0,17.0,,,,,,,1.0,1.0,1.0,,4.0,1.0,,,1.0,,2.0,1.0,,3.0,,,2.0,4.0,4.0,1.0,,,1.0,1.0,1.0,
