year,地域コード,流入人口／総数（人）,流入人口／都内他地域から（人）,流入人口／他道府県から（人）,流入人口／通勤者／総数（人）,流入人口／通勤者／都内他地域から（人）,流入人口／通勤者／他道府県から（人）,流入人口／通学者／総数（人）,流入人口／通学者／総数／うち15歳以上(人),流入人口／通学者／都内他地域から（人）,流入人口／通学者／都内他地域から／うち15歳以上(人),流入人口／通学者／他道府県から（人）,流入人口／通学者／他道府県から／うち15歳以上(人),流出人口／総数（人）,流出人口／都内他地域へ（人）,流出人口／他道府県へ（人）,流出人口／通勤者／総数（人）,流出人口／通勤者／都内他地域へ（人）,流出人口／通勤者／他道府県へ（人）,流出人口／通学者／総数（人）,流出人口／通学者／総数／うち15歳以上(人),流出人口／通学者／都内他地域へ（人）,流出人口／通学者／都内他地域へ／うち15歳以上(人),流出人口／通学者／他道府県へ（人）,流出人口／通学者／他道府県へ／うち15歳以上(人),流入超過人口／総数（人）,流入超過人口／都内他地域（人）,流入超過人口／他道府県（人）,流入超過人口／通勤者／総数（人）,流入超過人口／通勤者／都内他地域（人）,流入超過人口／通勤者／他道府県（人）,流入超過人口／通学者／総数（人）,流入超過人口／通学者／総数／うち15歳以上(人),流入超過人口／通学者／都内他地域（人）,流入超過人口／通学者／都内他地域／うち15歳以上(人),流入超過人口／通学者／他道府県（人）,流入超過人口／通学者／他道府県／うち15歳以上(人)
2015,13205,20795.0,15553.0,5242.0,19695.0,14558.0,5137.0,1100.0,1070.0,995.0,969.0,105.0,101.0,34031.0,29822.0,4209.0,29136.0,25537.0,3599.0,4895.0,4662.0,4285.0,4072.0,610.0,590.0,-13236.0,-14269.0,1033.0,-9441.0,-10979.0,1538.0,-3795.0,-3592.0,-3290.0,-3103.0,-505.0,-489.0
2015,13206,64445.0,47334.0,17111.0,58020.0,42237.0,15783.0,6425.0,5678.0,5097.0,4379.0,1328.0,1299.0,79025.0,70652.0,8373.0,68152.0,60723.0,7429.0,10873.0,9908.0,9929.0,9025.0,944.0,883.0,-14580.0,-23318.0,8738.0,-10132.0,-18486.0,8354.0,-4448.0,-4230.0,-4832.0,-4646.0,384.0,416.0
2015,13207,25603.0,22072.0,3531.0,23770.0,20366.0,3404.0,1833.0,1623.0,1706.0,1508.0,127.0,115.0,35690.0,32869.0,2821.0,31138.0,28771.0,2367.0,4552.0,4221.0,4098.0,3782.0,454.0,439.0,-10087.0,-10797.0,710.0,-7368.0,-8405.0,1037.0,-2719.0,-2598.0,-2392.0,-2274.0,-327.0,-324.0
2015,13208,46310.0,34858.0,11452.0,36622.0,28096.0,8526.0,9688.0,7880.0,6762.0,5128.0,2926.0,2752.0,77507.0,71499.0,6008.0,67132.0,61992.0,5140.0,10375.0,9299.0,9507.0,8513.0,868.0,786.0,-31197.0,-36641.0,5444.0,-30510.0,-33896.0,3386.0,-687.0,-1419.0,-2745.0,-3385.0,2058.0,1966.0
2015,13209,81284.0,21350.0,59934.0,57887.0,14116.0,43771.0,23397.0,21577.0,7234.0,6597.0,16163.0,14980.0,117299.0,62199.0,55100.0,102227.0,52433.0,49794.0,15072.0,13673.0,9766.0,9155.0,5306.0,4518.0,-36015.0,-40849.0,4834.0,-44340.0,-38317.0,-6023.0,8325.0,7904.0,-2532.0,-2558.0,10857.0,10462.0
2015,13210,27743.0,21222.0,6521.0,16603.0,13679.0,2924.0,11140.0,9623.0,7543.0,6176.0,3597.0,3447.0,44882.0,41805.0,3077.0,38657.0,36090.0,2567.0,6225.0,5622.0,5715.0,5126.0,510.0,496.0,-17139.0,-20583.0,3444.0,-22054.0,-22411.0,357.0,4915.0,4001.0,1828.0,1050.0,3087.0,2951.0
2015,13211,39541.0,29325.0,10216.0,29781.0,22345.0,7436.0,9760.0,8710.0,6980.0,6131.0,2780.0,2579.0,62767.0,57047.0,5720.0,52862.0,48153.0,4709.0,9905.0,9087.0,8894.0,8130.0,1011.0,957.0,-23226.0,-27722.0,4496.0,-23081.0,-25808.0,2727.0,-145.0,-377.0,-1914.0,-1999.0,1769.0,1622.0
2015,13212,36795.0,28277.0,8518.0,29665.0,23350.0,6315.0,7130.0,7083.0,4927.0,4886.0,2203.0,2197.0,59486.0,54403.0,5083.0,50845.0,46513.0,4332.0,8641.0,8073.0,7890.0,7358.0,751.0,715.0,-22691.0,-26126.0,3435.0,-21180.0,-23163.0,1983.0,-1511.0,-990.0,-2963.0,-2472.0,1452.0,1482.0
2015,13213,19507.0,12801.0,6706.0,17052.0,10798.0,6254.0,2455.0,2065.0,2003.0,1702.0,452.0,363.0,49566.0,41663.0,7903.0,42789.0,35871.0,6918.0,6777.0,6243.0,5792.0,5333.0,985.0,910.0,-30059.0,-28862.0,-1197.0,-25737.0,-25073.0,-664.0,-4322.0,-4178.0,-3789.0,-3631.0,-533.0,-547.0
2015,13214,27054.0,20150.0,6904.0,20138.0,15713.0,4425.0,6916.0,5999.0,4437.0,3675.0,2479.0,2324.0,45061.0,41094.0,3967.0,38329.0,34996.0,3333.0,6732.0,5925.0,6098.0,5345.0,634.0,580.0,-18007.0,-20944.0,2937.0,-18191.0,-19283.0,1092.0,184.0,74.0,-1661.0,-1670.0,1845.0,1744.0
