_id,産業階層,産業分類並び順,産業,地域階層,地域コード,地域,昼間就業者（人）,常住就業者（人）,常住就業者／うち自宅就業者（人）,常住就業者／うち地域内通勤者（人）,流入超過通勤者（人）,流入通勤者（人）,流入通勤者／うち都外から流入（人）,流出通勤者（人）,流出通勤者／うち都外へ流出（人）
108,2,8,建設業,2,13103,港区,38819,2025,213,676,36794,37867,20927,1073,188
109,2,9,製造業,2,13103,港区,80590,6311,767,1929,74279,77788,41061,3509,697
110,1,10,第３次産業,2,13103,港区,650255,79812,12505,29419,570443,606851,279515,36408,3940
111,2,11,電気・ガス・熱供給・水道業,2,13103,港区,5934,372,28,131,5562,5771,2713,209,27
112,2,12,情報通信業,2,13103,港区,177084,12130,2668,4728,164954,169573,80625,4619,316
113,2,13,運輸業，郵便業,2,13103,港区,27169,3119,179,866,24050,26039,14127,1989,185
114,2,14,卸売業，小売業,2,13103,港区,105296,11147,1417,4110,94149,99538,49008,5389,491
115,2,15,金融業，保険業,2,13103,港区,42819,6227,491,1661,36592,40615,18162,4023,186
116,2,16,不動産業，物品賃貸業,2,13103,港区,30493,5617,1755,1856,24876,26690,12350,1814,176
117,2,17,学術研究，専門・技術サービス業,2,13103,港区,78405,11755,3106,4163,66650,70976,29394,4326,379
118,2,18,宿泊業，飲食サービス業,2,13103,港区,35043,5095,427,2886,29948,31560,13348,1612,94
119,2,19,生活関連サービス業，娯楽業,2,13103,港区,22531,3011,537,1200,19520,20686,8935,1166,144
120,2,20,教育，学習支援業,2,13103,港区,14735,3967,524,1114,10768,13034,5327,2266,438
121,2,21,医療，福祉,2,13103,港区,26824,8285,394,3275,18539,23039,8241,4500,1149
122,2,22,複合サービス事業,2,13103,港区,1255,182,4,51,1073,1196,390,123,6
123,2,23,サービス業（他に分類されないもの）,2,13103,港区,73543,6287,927,2653,67256,69797,33187,2541,204
124,2,24,公務（他に分類されるものを除く）,2,13103,港区,9124,2618,48,725,6506,8337,3708,1831,145
125,1,25,分類不能の産業,2,13103,港区,13358,4411,595,720,8947,9437,4213,490,54
126,0,1,総数,2,13104,新宿区,521201,123796,15709,35243,397405,463014,188459,65609,5543
127,1,2,第１次産業,2,13104,新宿区,214,112,21,27,102,161,80,59,15
128,2,3,農業，林業,2,13104,新宿区,203,110,21,27,93,151,77,58,15
129,3,4,うち農業,2,13104,新宿区,178,102,21,27,76,127,68,51,15
130,2,5,漁業,2,13104,新宿区,11,2,-,-,9,10,3,1,-
131,1,6,第２次産業,2,13104,新宿区,57268,11363,1341,2420,45905,53111,24709,7206,1004
132,2,7,鉱業，採石業，砂利採取業,2,13104,新宿区,16,22,2,-,-6,14,5,20,1
133,2,8,建設業,2,13104,新宿区,26456,3793,447,1031,22663,24759,12084,2096,267
134,2,9,製造業,2,13104,新宿区,30796,7548,892,1389,23248,28338,12620,5090,736
135,1,10,第３次産業,2,13104,新宿区,449431,105369,13551,31800,344062,401450,160398,57388,4449
136,2,11,電気・ガス・熱供給・水道業,2,13104,新宿区,3223,451,10,106,2772,3103,1340,331,27
137,2,12,情報通信業,2,13104,新宿区,78650,16019,3444,2944,62631,72078,31738,9447,416
138,2,13,運輸業，郵便業,2,13104,新宿区,10130,2970,157,639,7160,9218,3995,2058,214
139,2,14,卸売業，小売業,2,13104,新宿区,68777,14267,1413,4306,54510,62601,26755,8091,604
140,2,15,金融業，保険業,2,13104,新宿区,28012,6462,324,849,21550,26730,10635,5180,210
141,2,16,不動産業，物品賃貸業,2,13104,新宿区,27566,6518,2138,1710,21048,23427,9553,2379,153
142,2,17,学術研究，専門・技術サービス業,2,13104,新宿区,40125,11430,2888,2313,28695,34730,13789,6035,386
143,2,18,宿泊業，飲食サービス業,2,13104,新宿区,30225,7978,513,4093,22247,25296,9029,3049,159
144,2,19,生活関連サービス業，娯楽業,2,13104,新宿区,19278,4094,653,1431,15184,17037,6774,1853,163
145,2,20,教育，学習支援業,2,13104,新宿区,26345,7148,636,2230,19197,23333,8786,4136,628
146,2,21,医療，福祉,2,13104,新宿区,32253,12356,415,5218,19897,26395,7625,6498,987
147,2,22,複合サービス事業,2,13104,新宿区,740,288,4,88,452,643,154,191,10
148,2,23,サービス業（他に分類されないもの）,2,13104,新宿区,58359,9653,887,3337,48706,53759,21504,5053,290
149,2,24,公務（他に分類されるものを除く）,2,13104,新宿区,25748,5735,69,2536,20013,23100,8721,3087,202
