地域階層,地域コード,地域,流入人口／総数（人）,流入人口／都内他地域から（人）,流入人口／他道府県から（人）,流入人口／通勤者／総数（人）,流入人口／通勤者／都内他地域から（人）,流入人口／通勤者／他道府県から（人）,流入人口／通学者／総数（人）,流入人口／通学者／総数／うち15歳以上(人),流入人口／通学者／都内他地域から（人）,流入人口／通学者／都内他地域から／うち15歳以上(人),流入人口／通学者／他道府県から（人）,流入人口／通学者／他道府県から／うち15歳以上(人),流出人口／総数（人）,流出人口／都内他地域へ（人）,流出人口／他道府県へ（人）,流出人口／通勤者／総数（人）,流出人口／通勤者／都内他地域へ（人）,流出人口／通勤者／他道府県へ（人）,流出人口／通学者／総数（人）,流出人口／通学者／総数／うち15歳以上(人),流出人口／通学者／都内他地域へ（人）,流出人口／通学者／都内他地域へ／うち15歳以上(人),流出人口／通学者／他道府県へ（人）,流出人口／通学者／他道府県へ／うち15歳以上(人),流入超過人口／総数（人）,流入超過人口／都内他地域（人）,流入超過人口／他道府県（人）,流入超過人口／通勤者／総数（人）,流入超過人口／通勤者／都内他地域（人）,流入超過人口／通勤者／他道府県（人）,流入超過人口／通学者／総数（人）,流入超過人口／通学者／総数／うち15歳以上(人),流入超過人口／通学者／都内他地域（人）,流入超過人口／通学者／都内他地域／うち15歳以上(人),流入超過人口／通学者／他道府県（人）,流入超過人口／通学者／他道府県／うち15歳以上(人)
2,13206,府中市,64445,47334,17111,58020,42237,15783,6425,5678,5097,4379,1328,1299,79025,70652,8373,68152,60723,7429,10873,9908,9929,9025,944,883,-14580,-23318,8738,-10132,-18486,8354,-4448,-4230,-4832,-4646,384,416
2,13207,昭島市,25603,22072,3531,23770,20366,3404,1833,1623,1706,1508,127,115,35690,32869,2821,31138,28771,2367,4552,4221,4098,3782,454,439,-10087,-10797,710,-7368,-8405,1037,-2719,-2598,-2392,-2274,-327,-324
2,13208,調布市,46310,34858,11452,36622,28096,8526,9688,7880,6762,5128,2926,2752,77507,71499,6008,67132,61992,5140,10375,9299,9507,8513,868,786,-31197,-36641,5444,-30510,-33896,3386,-687,-1419,-2745,-3385,2058,1966
2,13209,町田市,81284,21350,59934,57887,14116,43771,23397,21577,7234,6597,16163,14980,117299,62199,55100,102227,52433,49794,15072,13673,9766,9155,5306,4518,-36015,-40849,4834,-44340,-38317,-6023,8325,7904,-2532,-2558,10857,10462
2,13210,小金井市,27743,21222,6521,16603,13679,2924,11140,9623,7543,6176,3597,3447,44882,41805,3077,38657,36090,2567,6225,5622,5715,5126,510,496,-17139,-20583,3444,-22054,-22411,357,4915,4001,1828,1050,3087,2951
2,13211,小平市,39541,29325,10216,29781,22345,7436,9760,8710,6980,6131,2780,2579,62767,57047,5720,52862,48153,4709,9905,9087,8894,8130,1011,957,-23226,-27722,4496,-23081,-25808,2727,-145,-377,-1914,-1999,1769,1622
2,13212,日野市,36795,28277,8518,29665,23350,6315,7130,7083,4927,4886,2203,2197,59486,54403,5083,50845,46513,4332,8641,8073,7890,7358,751,715,-22691,-26126,3435,-21180,-23163,1983,-1511,-990,-2963,-2472,1452,1482
2,13213,東村山市,19507,12801,6706,17052,10798,6254,2455,2065,2003,1702,452,363,49566,41663,7903,42789,35871,6918,6777,6243,5792,5333,985,910,-30059,-28862,-1197,-25737,-25073,-664,-4322,-4178,-3789,-3631,-533,-547
2,13214,国分寺市,27054,20150,6904,20138,15713,4425,6916,5999,4437,3675,2479,2324,45061,41094,3967,38329,34996,3333,6732,5925,6098,5345,634,580,-18007,-20944,2937,-18191,-19283,1092,184,74,-1661,-1670,1845,1744
2,13215,国立市,23834,18750,5084,15253,12644,2609,8581,7013,6106,4723,2475,2290,25423,22940,2483,21883,19764,2119,3540,3103,3176,2765,364,338,-1589,-4190,2601,-6630,-7120,490,5041,3910,2930,1958,2111,1952
2,13218,福生市,12076,10667,1409,11169,9779,1390,907,874,888,855,19,19,17907,16527,1380,15926,14775,1151,1981,1791,1752,1577,229,214,-5831,-5860,29,-4757,-4996,239,-1074,-917,-864,-722,-210,-195
2,13219,狛江市,7993,5341,2652,6973,4458,2515,1020,1004,883,868,137,136,29038,25154,3884,25149,21802,3347,3889,3412,3352,2935,537,477,-21045,-19813,-1232,-18176,-17344,-832,-2869,-2408,-2469,-2067,-400,-341
2,13220,東大和市,11077,9580,1497,9494,8063,1431,1583,1572,1517,1506,66,66,27760,25208,2552,24309,22082,2227,3451,3128,3126,2817,325,311,-16683,-15628,-1055,-14815,-14019,-796,-1868,-1556,-1609,-1311,-259,-245
2,13221,清瀬市,12601,6746,5855,9587,5046,4541,3014,2703,1700,1493,1314,1210,23009,17446,5563,20068,15005,5063,2941,2744,2441,2277,500,467,-10408,-10700,292,-10481,-9959,-522,73,-41,-741,-784,814,743
2,13222,東久留米市,14298,9955,4343,12845,8685,4160,1453,1132,1270,1018,183,114,38203,32931,5272,33105,28563,4542,5098,4705,4368,4015,730,690,-23905,-22976,-929,-20260,-19878,-382,-3645,-3573,-3098,-2997,-547,-576
2,13223,武蔵村山市,14633,12658,1975,12625,10839,1786,2008,1946,1819,1760,189,186,18248,16540,1708,16054,14550,1504,2194,2039,1990,1846,204,193,-3615,-3882,267,-3429,-3711,282,-186,-93,-171,-86,-15,-7
2,13224,多摩市,45108,30228,14880,37303,26194,11109,7805,7040,4034,3530,3771,3510,43582,37434,6148,37714,32293,5421,5868,5418,5141,4782,727,636,1526,-7206,8732,-411,-6099,5688,1937,1622,-1107,-1252,3044,2874
2,13225,稲城市,13861,8312,5549,11983,7273,4710,1878,1831,1039,1017,839,814,32715,25266,7449,28170,21368,6802,4545,4101,3898,3544,647,557,-18854,-16954,-1900,-16187,-14095,-2092,-2667,-2270,-2859,-2527,192,257
2,13227,羽村市,14686,13057,1629,13911,12304,1607,775,640,753,620,22,20,18644,17025,1619,16258,14927,1331,2386,2243,2098,1963,288,280,-3958,-3968,10,-2347,-2623,276,-1611,-1603,-1345,-1343,-266,-260
2,13228,あきる野市,11256,10140,1116,9391,8444,947,1865,1576,1696,1428,169,148,22304,20744,1560,19399,18148,1251,2905,2796,2596,2494,309,302,-11048,-10604,-444,-10008,-9704,-304,-1040,-1220,-900,-1066,-140,-154
2,13229,西東京市,28748,18503,10245,24237,15569,8668,4511,4338,2934,2799,1577,1539,71625,64660,6965,60911,55237,5674,10714,9562,9423,8347,1291,1215,-42877,-46157,3280,-36674,-39668,2994,-6203,-5224,-6489,-5548,286,324
1,13300,郡部,18772,15634,3138,18434,15320,3114,338,314,314,300,24,14,15832,13978,1854,13558,11957,1601,2274,2150,2021,1912,253,238,2940,1656,1284,4876,3363,1513,-1936,-1836,-1707,-1612,-229,-224
2,13303,瑞穂町,13104,10360,2744,12770,10044,2726,334,314,316,306,18,8,9782,8291,1491,8450,7149,1301,1332,1252,1142,1076,190,176,3322,2069,1253,4320,2895,1425,-998,-938,-826,-770,-172,-168
2,13305,日の出町,4785,4502,283,4775,4498,277,10,8,4,2,6,6,5026,4734,292,4307,4063,244,719,686,671,638,48,48,-241,-232,-9,468,435,33,-709,-678,-667,-636,-42,-42
2,13307,檜原村,363,344,19,363,344,19,-,-,-,-,-,-,483,467,16,415,405,10,68,64,62,59,6,5,-120,-123,3,-52,-61,9,-68,-64,-62,-59,-6,-5
2,13308,奥多摩町,955,863,92,950,858,92,5,3,5,3,-,-,976,921,55,810,764,46,166,159,157,150,9,9,-21,-58,37,140,94,46,-161,-156,-152,-147,-9,-9
1,13350,島部,849,342,507,772,293,479,77,72,49,44,28,28,81,60,21,57,47,10,24,24,13,13,11,11,768,282,486,715,246,469,53,48,36,31,17,17
2,13361,大島町,142,71,71,113,45,68,29,29,26,26,3,3,28,23,5,20,17,3,8,8,6,6,2,2,114,48,66,93,28,65,21,21,20,20,1,1
2,13362,利島村,79,27,52,69,23,46,10,9,4,3,6,6,-,-,-,-,-,-,-,-,-,-,-,-,79,27,52,69,23,46,10,9,4,3,6,6
2,13363,新島村,68,30,38,61,25,36,7,7,5,5,2,2,12,12,-,10,10,-,2,2,2,2,-,-,56,18,38,51,15,36,5,5,3,3,2,2
2,13364,神津島村,53,18,35,49,17,32,4,4,1,1,3,3,6,2,4,4,1,3,2,2,1,1,1,1,47,16,31,45,16,29,2,2,-,-,2,2
2,13381,三宅村,100,54,46,96,52,44,4,3,2,1,2,2,8,6,2,4,3,1,4,4,3,3,1,1,92,48,44,92,49,43,-,-1,-1,-2,1,1
2,13382,御蔵島村,97,34,63,93,33,60,4,3,1,-,3,3,1,1,-,1,1,-,-,-,-,-,-,-,96,33,63,92,32,60,4,3,1,-,3,3
2,13401,八丈町,143,61,82,131,55,76,12,10,6,4,6,6,25,18,7,20,17,3,5,5,1,1,4,4,118,43,75,111,38,73,7,5,5,3,2,2
2,13402,青ヶ島村,47,24,23,42,20,22,5,5,4,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-,47,24,23,42,20,22,5,5,4,4,1,1
2,13421,小笠原村,128,31,97,126,31,95,2,2,-,-,2,2,9,6,3,6,6,-,3,3,-,-,3,3,119,25,94,120,25,95,-1,-1,-,-,-1,-1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平成27年国勢調査による東京都の昼間人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第4表　地域、流入・流出先、通勤者（15歳以上）・通学者状態別人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注　1）流入超過人口のマイナス値は流出超過である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0:東京都総数　1:区部・市部・郡部・島部　2:区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
